PG10767	Philosophy	split	Courage	Barrie, J. M. (James Matthew), 1860-1937
PG3549	Poetry	split	Cowley's Essays	Cowley, Abraham, 1618-1667
PG1616	Philosophy	split	Cratylus	Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]
PG1571	Fiction	split	Critias	Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]
PG16937	Philosophy	split	Critical Miscellanies (Vol 2 of 3), Essay 1: Vauvenargues	Morley, John, 1838-1923
PG2930	Philosophy	split	Criticisms on "The Origin of Species" From 'The Natural History Review', 1864	Huxley, Thomas Henry, 1825-1895
PG12506	Philosophy	deferred_repair	Critiques and Addresses	Huxley, Thomas Henry, 1825-1895
PG1657	Philosophy	split	Crito	Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]
PG11261	Philosophy	needs_review	Cyclopedia of Philosophy	Vaknin, Samuel, 1961-; Rangelovska, Lidija [Editor]
PG16978	Philosophy	split	Dante: "The Central Man of All the World" A Course of Lectures Delivered Before the Student Body of the New York State College for Teachers, Albany, 1919, 1920	Slattery, John T. (John Theodore), 1866-1938
PG5273	Religion	split	Darwiniana; Essays and Reviews Pertaining to Darwinism	Gray, Asa, 1810-1888
PG7491	Philosophy	split	De Amicitia, Scipio's Dream	Cicero, Marcus Tullius, 107 BCE-44 BCE; Peabody, Andrew P. (Andrew Preston), 1811-1893 [Translator]
PG852	Philosophy	deferred_repair	Democracy and Education: An Introduction to the Philosophy of Education	Dewey, John, 1859-1952
PG4583	Religion	split	Dialogues Concerning Natural Religion	Hume, David, 1711-1776
PG274	Religion	split	Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences	Luther, Martin, 1483-1546
PG9231	Fiction	split	Earth's Holocaust (From "Mosses from an Old Manse")	Hawthorne, Nathaniel, 1804-1864
PG742	Philosophy	split	Editorials from the Hearst Newspapers	Brisbane, Arthur, 1864-1936
PG11345	Philosophy	split	Education as Service	Krishnamurti, J. (Jiddu), 1895-1986
PG5982	Fiction	split	Eeldrop and Appleplex	Eliot, T. S. (Thomas Stearns), 1888-1965
PG16697	Religion	split	Epistle to the Son of the Wolf	Bahá'u'lláh, 1817-1892
PG3118	Philosophy	split	Equality	Warner, Charles Dudley, 1829-1900
PG1681	Philosophy	split	Eryxias	Plato, 428? BCE-348? BCE [Dubious author]; Jowett, Benjamin, 1817-1893 [Translator]
PG13484	Philosophy	split	Essay upon Wit	Blackmore, Richard, Sir, 1654-1729; Boys, Richard C. (Richard Charles), 1912-1975 [Author of introduction, etc.]; Addison, Joseph, 1672-1719 [Commentator]
PG3673	Philosophy	split	Essays Before a Sonata	Ives, Charles, 1874-1954
PG16643	Philosophy	deferred_repair	Essays by Ralph Waldo Emerson	Emerson, Ralph Waldo, 1803-1882; Turpin, Edna Henry Lee, 1867-1952 [Editor]
PG9887	Philosophy	split	Essays in War-Time: Further Studies in the Task of Social Hygiene	Ellis, Havelock, 1859-1939
PG3581	Philosophy	split	Essays of Michel de Montaigne — Volume 01	Montaigne, Michel de, 1533-1592; Hazlitt, William Carew, 1834-1913 [Editor]; Cotton, Charles, 1630-1687 [Translator]
PG3597	Philosophy	split	Essays of Michel de Montaigne — Volume 17	Montaigne, Michel de, 1533-1592; Hazlitt, William Carew, 1834-1913 [Editor]; Cotton, Charles, 1630-1687 [Translator]
